speaker,dialogue,情感得分,情感分类,人物,台词
敬妃,贵妃娘娘，说了半日，口也干了，不如喝上一盅茶，歇上一歇，莞嫔她纵然有错，也请贵妃娘娘让她起身再说话吧。,0.007880149915082568,消极,敬妃,贵妃娘娘，说了半日，口也干了，不如喝上一盅茶，歇上一歇，莞嫔她纵然有错，也请贵妃娘娘让她起身再说话吧。
华贵妃,女子以妇德为上，莞嫔甄氏巧言令色以下犯上，目无本宫，罚于翊坤宫外跪送女戒，以示教训。,0.7730812671618642,积极,华贵妃,女子以妇德为上，莞嫔甄氏巧言令色以下犯上，目无本宫，罚于翊坤宫外跪送女戒，以示教训。
敬妃,娘娘，外面烈日甚大，花岗岩石坚硬，莞嫔有孕在身，不能跪在那儿啊。 安陵容：还请贵妃娘娘恕罪，请娘娘看在姐姐有孕在身的份儿上，饶恕姐姐。,0.43083002555858907,中性,敬妃,娘娘，外面烈日甚大，花岗岩石坚硬，莞嫔有孕在身，不能跪在那儿啊。 安陵容：还请贵妃娘娘恕罪，请娘娘看在姐姐有孕在身的份儿上，饶恕姐姐。
沈眉庄,娘娘责罚莞嫔事小，若是龙胎有个闪失，皇上和皇后回来，一定会责罚娘娘的。 华贵妃：宫规不严，最当加以整治，皇上和皇后在也会是这样，难不成，你要以皇上与皇后要挟本宫吗。,0.9954228517233956,积极,沈眉庄,娘娘责罚莞嫔事小，若是龙胎有个闪失，皇上和皇后回来，一定会责罚娘娘的。 华贵妃：宫规不严，最当加以整治，皇上和皇后在也会是这样，难不成，你要以皇上与皇后要挟本宫吗。
安陵容,还望娘娘顾及皇上。,0.5164446491597156,中性,安陵容,还望娘娘顾及皇上。
华妃,莞嫔，你是自己走出去，还是本宫命人服你一把。,0.6679397472349017,积极,华妃,莞嫔，你是自己走出去，还是本宫命人服你一把。
周宁海,莞嫔，请吧。,0.24699418451209743,消极,周宁海,莞嫔，请吧。
果郡王,皇额娘气色不好，一定不可以劳心劳神哪，要好好歇着。,0.21442999835314813,消极,果郡王,皇额娘气色不好，一定不可以劳心劳神哪，要好好歇着。
太后,哀家哪里还能劳心劳神呐，皇上皇后这一走，六宫的事情，都只好托付给华贵妃了。,0.7180755791400912,积极,太后,哀家哪里还能劳心劳神呐，皇上皇后这一走，六宫的事情，都只好托付给华贵妃了。
果郡王,华贵妃在王府的时候，就帮皇嫂打理事宜，一定会得心应手，不让皇额娘忧心的。,0.9889094277843111,积极,果郡王,华贵妃在王府的时候，就帮皇嫂打理事宜，一定会得心应手，不让皇额娘忧心的。
太后,华贵妃的性子，和她哥哥是一样的，能做大事，也能做坏事。,0.998330287231384,积极,太后,华贵妃的性子，和她哥哥是一样的，能做大事，也能做坏事。
太监,启禀太后，隆科多大人府中送来千年山参一只，望太后凤体安康。,0.04683792180354063,消极,太监,启禀太后，隆科多大人府中送来千年山参一只，望太后凤体安康。
太后,放下吧。 华贵妃她哥哥在朝中的事你听说了吗。,0.9921985251842518,积极,太后,放下吧。 华贵妃她哥哥在朝中的事你听说了吗。
果郡王,难怪皇额娘身子不好，原来是不肯听太医的话，太医都说了不让您劳心的，您可好，这连外面的事情都管起来了，您这一嘱咐，儿臣就得到外边去问这些事情，这一次也就罢了，下次如果还这般，那儿臣可不敢再进宫了。,0.07467553387822223,消极,果郡王,难怪皇额娘身子不好，原来是不肯听太医的话，太医都说了不让您劳心的，您可好，这连外面的事情都管起来了，您这一嘱咐，儿臣就得到外边去问这些事情，这一次也就罢了，下次如果还这般，那儿臣可不敢再进宫了。
太后,你这孩子，越发油嘴滑舌了。,0.9648695404507616,积极,太后,你这孩子，越发油嘴滑舌了。
莞嫔,嫔妾有错自然要罚，可嫔妾身怀龙裔，实在不能长跪，还请娘娘三思。,0.2640496532432183,消极,莞嫔,嫔妾有错自然要罚，可嫔妾身怀龙裔，实在不能长跪，还请娘娘三思。
华贵妃,你当本宫是傻子吗，你的胎一直安好，且已过了头三个月，早就已经稳定了，本宫也问了太医，怀孕的人跪上一个时辰也不打紧。,0.5515703139120748,中性,华贵妃,你当本宫是傻子吗，你的胎一直安好，且已过了头三个月，早就已经稳定了，本宫也问了太医，怀孕的人跪上一个时辰也不打紧。
谨汐,干什么。,0.25210084033613434,消极,谨汐,干什么。
周宁海,跪下,0.47795503931718886,中性,周宁海,跪下
谨汐,不可，不,0.3693910911319984,消极,谨汐,不可，不
谨汐,小主。。,0.5525328606245025,中性,谨汐,小主。。
莞嫔,嫔妾领罚，是因为娘娘奉帝后之命，代职六宫事务，公道自在人心，非刑罚可定。 华贵妃：好，本宫就让你知道，这公道是在我年世兰手里，还是在你所谓的人心。,0.9999973947570232,积极,莞嫔,嫔妾领罚，是因为娘娘奉帝后之命，代职六宫事务，公道自在人心，非刑罚可定。 华贵妃：好，本宫就让你知道，这公道是在我年世兰手里，还是在你所谓的人心。
华贵妃,好好诵读，读到本宫满意为止。,0.956024979392109,积极,华贵妃,好好诵读，读到本宫满意为止。
沈眉庄,莞嫔有孕，实在不宜跪着。,0.1628106529794966,消极,沈眉庄,莞嫔有孕，实在不宜跪着。
华贵妃,（冷笑了一声）有孕在身就可以藐视宫规吗，本宫瞧你是好了伤疤忘了痛，你既为她求情，不如陪她一起跪。,0.9915023608777881,积极,华贵妃,（冷笑了一声）有孕在身就可以藐视宫规吗，本宫瞧你是好了伤疤忘了痛，你既为她求情，不如陪她一起跪。
甄嬛,惠贵人并非为嫔妾求情，请贵妃娘娘不要迁怒于她。,0.7556374663137346,积极,甄嬛,惠贵人并非为嫔妾求情，请贵妃娘娘不要迁怒于她。
华贵妃,若本宫一定要迁怒于她你又能怎样，你们不是姐妹情深吗，那好，捧着书跪到她旁边，让她诵读，好好学点规矩。,0.9574247139078361,积极,华贵妃,若本宫一定要迁怒于她你又能怎样，你们不是姐妹情深吗，那好，捧着书跪到她旁边，让她诵读，好好学点规矩。
沈眉庄,（拿着书走到甄嬛旁边，对甄嬛说）我陪你。,0.49080238383137353,中性,沈眉庄,（拿着书走到甄嬛旁边，对甄嬛说）我陪你。
华妃,好热呀， 把妃嫔们的座椅都搬到廊前来，让她们好好瞧着，藐视本宫会是什么样的下场。,0.30060362869591595,消极,华妃,好热呀， 把妃嫔们的座椅都搬到廊前来，让她们好好瞧着，藐视本宫会是什么样的下场。
华贵妃,恩。。。这一群美人出了汗，味道照样是呛人，颂芝。。,0.4532424156821665,中性,华贵妃,恩。。。这一群美人出了汗，味道照样是呛人，颂芝。。
颂芝,是。,0.5262327818078083,中性,颂芝,是。
华贵妃,去把香炉抬出去，多焚一些欢宜香去去味。,0.021005406145731542,消极,华贵妃,去把香炉抬出去，多焚一些欢宜香去去味。
颂芝,是。,0.5262327818078083,中性,颂芝,是。
甄嬛,。。。。蒙先君之余宠，赖母师之典训， 年十有四，执箕帚于曹氏，于今四十余载矣，战战兢兢，常惧绌辱，以增父母之羞，以益中外之累。。。。。,0.9994705049825963,积极,甄嬛,。。。。蒙先君之余宠，赖母师之典训， 年十有四，执箕帚于曹氏，于今四十余载矣，战战兢兢，常惧绌辱，以增父母之羞，以益中外之累。。。。。
甄嬛,。。。夙夜劬心，勤不告劳。。。,0.6726603654046879,积极,甄嬛,。。。夙夜劬心，勤不告劳。。。
敬妃,贵妃娘娘。。,0.6521350015405524,积极,敬妃,贵妃娘娘。。
华贵妃,跪上半个时辰死不了人的，你若再敢多嘴，就同她一起跪着。,0.1595534138668575,消极,华贵妃,跪上半个时辰死不了人的，你若再敢多嘴，就同她一起跪着。
浣碧,都跪了这么久了，怎么还不让起来啊。,0.4168650239241941,中性,浣碧,都跪了这么久了，怎么还不让起来啊。
浣碧,奴婢是碎玉轩的，有要事求见太后娘娘。,0.12151135308140948,消极,浣碧,奴婢是碎玉轩的，有要事求见太后娘娘。
浣碧,人命关天，还请公公放行。,0.08843944065497711,消极,浣碧,人命关天，还请公公放行。
浣碧,（大叫着）太后，太后,0.13635241128054154,消极,浣碧,（大叫着）太后，太后
阿晋,浣碧姑娘，你怎么在这里呀。,0.9067727256589115,积极,阿晋,浣碧姑娘，你怎么在这里呀。
阿晋,我，我怎么不能在这里呀，我陪着王爷进宫的。,0.779616079184921,积极,阿晋,我，我怎么不能在这里呀，我陪着王爷进宫的。
浣碧,阿晋，王爷呢。。。。,0.28464188107400057,消极,浣碧,阿晋，王爷呢。。。。
甄嬛,。。。。卑弱第一，古生女三日，卧之床下，弄之瓦砖，而斋告焉。。（甄嬛已难受之极）,0.0014422255623156577,消极,甄嬛,。。。。卑弱第一，古生女三日，卧之床下，弄之瓦砖，而斋告焉。。（甄嬛已难受之极）
华贵妃,来人呐。,0.16453662526145774,消极,华贵妃,来人呐。
周宁海,是。 华妃：打。有身子的打不得就打那个没身子的。,0.40445915745349637,中性,周宁海,是。 华妃：打。有身子的打不得就打那个没身子的。
周宁海,嗻。,0.5,中性,周宁海,嗻。
甄嬛,不能打，不能打。,0.23600875747652383,消极,甄嬛,不能打，不能打。
谨汐,小主小心哪。。,0.2675440871504762,消极,谨汐,小主小心哪。。
甄嬛,不能打。,0.3693910911319984,消极,甄嬛,不能打。
谨汐,小主。。,0.5525328606245025,中性,谨汐,小主。。
甄嬛,（突然趴下）：贵妃娘娘。。。,0.26387725040140564,消极,甄嬛,（突然趴下）：贵妃娘娘。。。
华贵妃,你若再敢偷懒，你的好姐妹就得替你受罚。,0.20574830433498448,消极,华贵妃,你若再敢偷懒，你的好姐妹就得替你受罚。
华贵妃,（笑道）你们瞧瞧她呀，可真够笨的，连装病都装的跟富察贵人一模一样，也不想想这理由找多了谁都会烦的，也不换个由头吗。,0.009714528196034355,消极,华贵妃,（笑道）你们瞧瞧她呀，可真够笨的，连装病都装的跟富察贵人一模一样，也不想想这理由找多了谁都会烦的，也不换个由头吗。
安陵容,贵妃娘娘，姐姐身子虚弱，若是中暑晕过去，怕是娘娘也担不起责任那。,0.07883149836865588,消极,安陵容,贵妃娘娘，姐姐身子虚弱，若是中暑晕过去，怕是娘娘也担不起责任那。
华妃,（冷笑道）本宫倒要看看她会不会晕倒，周宁海，去拿些薄荷艾叶来熏，若熏了这些，她还会中暑晕倒，便是蓄意欺瞒本宫，本宫纵使惩罚不了你，却绝对不会放过跟你同流合污的惠贵人和安常在。,0.0003363296858989173,消极,华妃,（冷笑道）本宫倒要看看她会不会晕倒，周宁海，去拿些薄荷艾叶来熏，若熏了这些，她还会中暑晕倒，便是蓄意欺瞒本宫，本宫纵使惩罚不了你，却绝对不会放过跟你同流合污的惠贵人和安常在。
甄嬛,。。夫妇第二，夫妇之道，参配阴阳，通达神明，信天地之弘义，人伦之大节也。。。,0.9919166448059757,积极,甄嬛,。。夫妇第二，夫妇之道，参配阴阳，通达神明，信天地之弘义，人伦之大节也。。。
安陵容,请娘娘饶恕姐姐，请贵妃娘娘饶恕姐姐。。。,0.8796080281184144,积极,安陵容,请娘娘饶恕姐姐，请贵妃娘娘饶恕姐姐。。。
敬妃,贵妃娘娘，娘娘。。。。,0.5319332131210317,中性,敬妃,贵妃娘娘，娘娘。。。。
甄嬛,。。。由斯言之，不可不重也，夫不贤，则无以御妇。。,0.029960723947354162,消极,甄嬛,。。。由斯言之，不可不重也，夫不贤，则无以御妇。。
敬妃,娘娘，已经过了半个时辰了。,0.5281963255195758,中性,敬妃,娘娘，已经过了半个时辰了。
华贵妃,不急，再跪一刻钟再说吧。,0.05584651785186601,消极,华贵妃,不急，再跪一刻钟再说吧。
敬妃,只怕万一待会儿出了事，贵妃娘娘，你也担待不起啊。娘娘，莞嫔的脸已经惨白了。,0.7941395855301889,积极,敬妃,只怕万一待会儿出了事，贵妃娘娘，你也担待不起啊。娘娘，莞嫔的脸已经惨白了。
华贵妃,她这样矫情做作是做给本宫看的吗，哼，本宫瞧她好得很。,0.6847864861290177,积极,华贵妃,她这样矫情做作是做给本宫看的吗，哼，本宫瞧她好得很。
华贵妃,果郡王？！竟敢私闯翊坤宫。站住！你要带莞嫔到哪儿去？！你不知道私闯内宫乃是死罪吗。,0.9956896692147701,积极,华贵妃,果郡王？！竟敢私闯翊坤宫。站住！你要带莞嫔到哪儿去？！你不知道私闯内宫乃是死罪吗。
果郡王,死罪与否，皇兄自有定夺，本王之所以擅闯内宫，是因为不忍看皇兄龙裔有损，如果他日真因娘娘所言获罪，本王也本心无愧！,0.9967855798791853,积极,果郡王,死罪与否，皇兄自有定夺，本王之所以擅闯内宫，是因为不忍看皇兄龙裔有损，如果他日真因娘娘所言获罪，本王也本心无愧！
华贵妃,站住！！！！,0.4458369762577955,中性,华贵妃,站住！！！！
颂芝,（拉着年世兰说道）娘娘，娘娘，那地上好像有血！,0.3484156615915155,消极,颂芝,（拉着年世兰说道）娘娘，娘娘，那地上好像有血！
华贵妃,怎么会这样，不是才半个时辰吗，怎么会有血。,0.5589400940661045,中性,华贵妃,怎么会这样，不是才半个时辰吗，怎么会有血。
