speaker,dialogue
甄嬛,"精诚所至,或许是有金石为开那一天,只是妾身若如古井,不愿再起波澜。甘露寺不便男子往来,我也"
允礼,你觉得我冒犯了你?
甄嬛,"不是冒犯,是云泥之别。王爷天潢贵胄,实在不宜多来此地。"
允礼,你不愿意见我?
甄嬛,"不该相见自然不愿见,还望王爷尊重我的意愿。(离去)"
槿汐,"烧得厉害,这可怎么是好啊?"
浣碧,"雪下得这么大,去凌云峰的禅房也来不及了,甘露寺又去不了,这前不着村后不着店的,怕也请不到大"
槿汐,"这可怎么是好?这是哪儿呀这是?倒也不是前不着村后不着店,浣碧,前面就是清凉台,只有找一个人"
莫言,浣碧怎么去了那么久啊?你们说的那个人到底会不会来?
槿汐,"我也不知道,只能赌一把,若真的走投无路,娘子也不能获救,我们始终跟娘子在一起。"
槿汐,王爷!
允礼,怎么烧得这么烫?
槿汐,"娘子身子本来就弱,又着了风,怕是受了风寒。"
允礼,"这里一入冬就容易大雪封山,趁着雪还没有封路,赶紧跟我回清凉台。"
槿汐,"谢王爷。凌云峰的禅房不能没人打点,我先上凌云峰去打点禅房,等娘子身子好一些你们再把她送回来。"
允礼,好。多谢。
莫言,你接过去的可是条命啊。
允礼,我知道。
莫言,"你不知道!你是个男人,男人都会让女人伤心的。"
允礼,"如果救得了她,我必不伤她,我会尽力去做的,相信我。"
莫言,就信你这一次。
允礼,去请温太医了吗?
阿晋,"已经派人进宫去了,说是王爷不适,一定要请温太医来看,只是这雪天路滑,温太医上山不便"
允礼,"再不便也得来啊,清凉台本来药物就不多,娘子还一直高热不退,这样下去,只怕不好。"
浣碧,"已经拿冷水擦了那么多次了,可是小姐的高烧一点都没有退,这该如何是好啊?"
允礼,"浣碧,你忙了半天了,先去休息吧,别把自己累坏了。"
浣碧,可是小姐她 --
允礼,"这里有人照顾,你如果把自己累坏了,那就更没人照顾小姐了。阿晋,带浣碧姑娘下去休息。"
阿晋,"是。浣碧姑娘,请。"
浣碧,那就有劳王爷了。继续。(出)
允礼,"我看着娘子,你们也下去吧。"
阿晋,王爷你疯了?
允礼,"我就是疯了也得让嬛儿把高热退了,去外边守着,不许乱说。"
允礼,你终于来了!
温实初,给王爷请安。
允礼,瞧瞧。
温实初,"雪夜难行,恕微臣来晚了。微臣正好带了一些疏散的药,还开了个方子,劳烦先在王爷这里煎了吧。"
允礼,"好,快去。娘子好些了吗?"
温实初,"幸好烧得不厉害,若还是像通传时说的高热不退,那就麻烦了。"
允礼,"好,我先去换身衣服,一会儿再过来看娘子。"
阿晋,"王爷,快去换件衣裳吧,嘴唇都冻紫了。"
浣碧,"王爷,温太医来了吗?"
允礼,"在里边呢,正要你照顾呢。(咳)"
浣碧,"王爷,你怎么了?"
允礼,"没事,走得急摔雪里了,你赶紧进去吧。"
温实初,"王爷您怎么又来了?这儿有微臣,您就放心吧。"
允礼,"什么时候温太医给娘子看完病,也给我瞧瞧,我这两日总是咳得厉害。"
温实初,"王爷您不好好休息,病情反复,反而不利于身体。"
允礼,"这不大家都忙着呢吗,就我一个人闲着也过意不去,特意过来瞧一瞧,万一不适,好歹太医就在身边。"
温实初,"浣碧姑娘,你已经熬了大半夜了,不如去休息吧。"
浣碧,"也好,温大人,您也早点歇息吧,要是您也累病了,谁来照顾小姐啊?"
允礼,"这样吧,今晚我也留在这里,温太医和浣碧就在这儿将就睡下,大家彼此都好照顾。"
浣碧,多谢王爷体恤。
浣碧,"小姐,你醒了?"
允礼,你好些了吗?
甄,这是在哪儿?
允礼,"这是清凉台,你病得太重了,便把你接来清凉台照顾。"
浣碧,"我真是高兴糊涂了,温大人就在那儿呢,我快请他过来给小姐看看。温大人,小姐醒了,快来啊。"
温实初,"是好多了,是好多了。"
甄嬛,"既然好了,那我们赶紧回去吧。"
允礼,"身子还没好全,还得安心静养,清凉台少有人到访,是最好的所在了。"
温实初,其实清凉台也未必好。
浣碧,"若是清凉台不好,还有比这儿更好的所在吗?而且小姐现在身子这样,是能腾挪奔波的吗?"
甄嬛,槿汐呢?
浣碧,"我陪小姐来了清凉台,槿汐去了凌云峰,出了什么事好互相照应着。"
允礼,"采蓝、采蘋!(丫鬟入)你这几日病着,浣碧一个人照顾你十分的辛苦,这两日在外面煎药的事情都是采"
甄嬛,"王爷情况似乎不太对,你且瞧瞧。"
温实初,"王爷是辛劳过度,又着了风寒,是而引起了发热,赶紧捂着被子睡一觉发发汗,我再开一个疏散的方"
允礼,有劳太医了。
浣碧,"阿晋,快进来扶王爷一把。"
允礼,"看来我是少不得要睡一觉了,娘子要好好休息啊。"
浣碧,我扶王爷出去。
甄嬛,"我这里不要紧,你去看看他吧。"
温实初,你很关心他?
甄嬛,"果郡王一向仗义,如今又是这儿的东道主,拼死救了我,我不过是寻常问候两句而已,你连日照顾我也"
温实初,"那好吧,你先好好休息,我去看看王爷。"
甄嬛,"今日是三月初三上已节,咱们带上些节礼去看太妃,太妃一定很高兴。"
浣碧,"我们也好久没见太妃了,是该去瞧瞧呢。"
舒太妃,"今天天好,你也难得愿意出来走走。"
甄嬛,"许久不来看太妃了,真是我失礼了。"
浣碧,太妃安好。
舒太妃,"这样花开时节,倒想听一听琴呢。上次损坏的琴弦我已经修好了,你也正好来试试称不称手。"
允礼,"儿子正好带着长相守,可与娘子同奏,久闻娘子琴技甚好,不知可否同奏一曲?"
甄嬛,"长相思的旧主人在此,我怎敢夸口琴技呢?与王爷合奏,我也从未试过,怕是跟不上王爷的笛声。"
舒太妃,"先帝去世以后,我不再碰长相思,这合奏之音也再不曾听闻过了,请娘子全一全我这未亡人的心愿吧,"
甄嬛,"太妃既有此言,那我相拒不如从命。"
允礼,奏什么好呢 …… (与甄嬛异口同声)长相思?
舒太妃,你们俩倒是心意相通。
甄嬛,"只因琴名长相思,是而我与王爷都想到了此处。"
舒太妃,"我虽不太懂文墨,李白的长相思我还是知道的,不如就这首吧。"
积云,"太妃说得是,别的琴笛便也罢了,咱们的长相思与长相守不止考较弹奏者的功力与技巧,还要合奏时心"
甄嬛,"积云姑姑这番话,倒是叫我瞎猫碰上了死老鼠,我和王爷彼此知晓那还说得过去,若说情致韵味,那真"
积云,"是我说得高兴忘了分寸了,娘子别见怪才是。"
允礼,"从前只是琴笛的合奏,如今还有额娘的吟唱,当真是完美无缺了。"
甄嬛,"琴笛合奏只能感受其间韵味,倒不如直接吟唱出长相思的歌词,世间的情意于太妃而言,是直接明了胜"
舒太妃,甄娘子也算是我的知音了。
甄嬛,"王爷每次出门,都会把长相守携带在身吗?"
允礼,每次来这边才会带上。
甄嬛,王爷对太妃果然深有孝心。
允礼,"因为长相思在你这里,我是长相守的主人,来寻长相思的主人。"
甄嬛,王爷真会开玩笑。
允礼,"嬛儿,我不是和你开玩笑。"
甄嬛,可我只能当您是玩笑。
允礼,"从前你是皇上的女人,现在已是自由之身!所以我说的不少和你玩笑,是真心话。你离开清凉台,我怕"
甄嬛,"我从前是宫中的宠妃,现在甘露寺我是带发修行,和宫廷已经毫无干系了,人非草木,王爷的心思我并"
允礼,"因为你曾经是皇兄的宠妃,而我也出身宫廷,所以你不愿接受我?可是当年在宫里面,你可曾有一日过"
甄嬛,"即便没有宫里那段日子,过去和如今到底也不一样了。"
允礼,"无论是过去还是现在,撇开宫里那段日子,你都是自由之身,可以和任何人在一起。你方才说“人非草"
甄嬛,王爷可曾与女子相爱过?
允礼,呃 -- 没有。
甄嬛,"可我经历过,所以明白,有些事如果一开始就明知道不能善终,就不要去痴心妄想,去勉强求一个善果。"
允礼,"你只伤心了一次,便要对世间的情字都失望了吗?"
甄嬛,"既然知道以后要伤心,那我就情愿从来没有认识过他,也不要遇见他。"
允礼,"如果有人一心一意待你,想给你四时明媚,为你遮风避雨,你也不愿意吗?"
甄嬛,"“碧玉小家女,不敢攀贵德”,往事既已成梦,将来之事也是一眼望得到底的,就不必再有任何做梦之事。"
浣碧,怎么这么吵啊?
甄嬛,怎么了?––有猫!
浣碧,"槿汐,快点去打猫,小姐被猫伤过,见不得猫的!(一阵慌乱)"
浣碧,王爷?是什么猫这么大啊?
允礼,"山里野猫。山野里怎么能养鸟呢?这里虽然没有大的猛兽,可是野猫却很多,最爱以鸟为食,还好没有"
浣碧,"都是那个温大人,好端端地拿什么鸟来,说是逗小姐乐,却把野猫给招来了。"
槿汐,"多谢王爷,要不是王爷相救,刚才真不知道会怎么样呢。真把奴婢吓坏了,从来没见过那么大的猫,说"
甄嬛,"今晚的事多谢王爷,只是这么晚了,王爷怎么还会在这儿附近呢?"
允礼,"这些天来,你都到二更天才睡,难怪脸色这样憔悴。"
甄嬛,你都在这儿?
允礼,我只想等你睡了再走。
甄嬛,"可今日我已经睡下了了,你怎么还在这儿呢?"
允礼,"嬛儿,你就当我是贪看月色好了。今天都怪我,一不留神打了个盹,让你受惊了。"
甄嬛,"你是千金之体,何必要这样为难自己?"
允礼,"何来为难?只要在外面能看到你屋里的灯光,心里便总觉得安慰些。"
甄嬛,"王爷快回去睡吧,已经三更天了。"
允礼,"你放心地睡吧,我 …… 告辞了。"
甄嬛,是吗?
浣碧,"只有王爷的笛声才有这样的情韵,不知道今晚又要吹到几更呢?"
浣碧,"小姐你听,外面的笛声是不是还在呀?"
甄嬛,是还在。
槿汐,"真是可怜,外面下起雨来了,怕是要淋坏人了。娘子,过去的事情都已经过去了,娘子若这么自苦,那"
甄嬛,"火烧眉毛,且顾眼下?"
槿汐,"是啊,来日 -- 谁知道来日会是什么样子?今时今日遂了自己的心愿,让自己高兴了才是最好的,若是"
槿汐,"是啊,这一步迟早是要迈出去的,只是迈出去得早,他们二人便能高兴得早一些罢了。"
允礼,"嬛儿,是你吗?"
甄嬛,"是我,我来了。"
允礼,"下着雨你还跑来,自己的身子不要了吗?"
甄嬛,"是你不要自己的身子了,这么大的雨还在这里吹笛子。"
允礼,可你最怕打雷闪电了。
甄嬛,"有你在,我便不再害怕了。"
允礼,你再说一遍。
甄嬛,"有你在,我便不再害怕了。"
允礼,"嬛儿,是什么时候你对我有了这样的心思?"
甄嬛,"或许是在清凉台,或许是在长河边,或许更早,但每每在我最需要你的时候,你永远都在我身边。"
允礼,"你知道吗?如果没有你这番话,我都不知道我这些年在你心里是什么样子。"
甄嬛,"“积石如玉,列松如翠,郎艳独绝,世无其二”,你在我心中便是如此。"
允礼,"嬛儿,在我心里,你就是我的天地人间。没有你,这一切繁华锦绣,于我不过是万念俱空;只要有你,"
甄嬛,"我是废弃之身、罪臣之女,被弃之佛门,还生育过女儿,而你有无数名门闺秀可以选择,实在不必和我这样的残躯败体在一起。"
允礼,"嘘 -- 嬛儿,你要相信,你在我心里是最好的。这种牵手叫做同心扣,这样牵手的男女,到死也不会分"
甄嬛,"我觉得就是在做梦,千万不要让我梦醒。"
允礼,"这不是梦,这是我们今后天天都会有的日子。嬛儿,你知道吗,我得到你我有多高兴!我想马上就对额娘说:你的儿子得到了这个世界上他最想得到的人。"
积云,"今日怎么这样巧,王爷和娘子一同来了呢。"
允礼,额娘呢?
积云,"太妃才诵经完毕,正喝茶呢。"
舒太妃,允礼?
允礼,"来,先给额娘行礼吧。"
甄嬛,给太妃请安。
允礼,给额娘请安。
舒太妃,"今儿这是怎么了,行这么大的礼?(然后懂了)好,好,总算在一块了。"
甄嬛,"多谢太妃。听太妃方才的语气,好像早知道我与他 ……"
允礼,我可什么都没说啊。
舒太妃,"允礼当真什么都没跟我说,只是你们那一日琴笛合奏,真当我老了什么也瞧不出来了吗?心有灵犀这"
允礼,"此事也是峰回路转,也是刚刚才定下来,儿子这不赶紧就带着嬛儿来给额娘请安了吗?嬛儿,我带你来"
舒太妃,"允礼这样说,可见他对你用心不是一天两天的事了,从前的路你们总算熬过来了,守得云开见月明,"
甄嬛,"方才来的时候我还害怕,怕太妃会不喜欢我。"
舒太妃,"我知道你在意什么,只是过去的就都过去了,大清开国以来,没听说过废妃再回去的,与其老死宫外,"
甄嬛,"太妃的话,嬛儿铭记在心。"
甄嬛,怎么这么早就过来了?
允礼,"一早骑马回了清凉台,见开了第一束玉兰,特地拿来给你,山花烂漫处,你我相见。"
甄嬛,吃过东西没有?
允礼,"就急着过来看你,我一点都不饿。"
甄嬛,"嘴这么甜,跟抹了蜜似的。宫里可出了什么事?"
允礼,"隆科多圈禁而死,太后病重。"
甄嬛,兔死狗烹是皇上惯用的权术。
允礼,"今时今日你提起他,就像是一个无关紧要的人。"
甄嬛,本就是个无关紧要的人。
允礼,"真巧,我正想画画呢,你把东西都摆好了,我来画你好不好?(坐下画画)"
甄嬛,果然不错。
允礼,"我虽然没有看到你,但是你的样子刻在我的心里,怎么能画不出来呢?"
甄嬛,"又胡说。看看,在这儿(拿画笔补了几笔),这样就更像了。(温实初入)你来了?"
温实初,我来得不巧。
甄嬛,无妨 -- 允礼他不是外人。
温实初,允礼?
甄嬛,"看着这水,我便想起昔年在圆明园湖中偶遇你的情景,不曾想还有今天。"
允礼,"是啊,那日你胆子可真够大的,敢去偷偷看被禁了足的姐妹。"
甄嬛,也不知眉姐姐如今怎么样了?
允礼,"她很好,才刚晋了惠嫔。除了去看胧月,她还是不喜欢与人来往。"
甄嬛,"以姐姐的气性,她是宁愿孤老宫中也不会再回头向皇上乞怜的,只是她还这样年轻美貌,却要郁郁终生,"
允礼,"你觉得她可惜吗?有太后的保护,况且她还是失了宠的人,没有人会加害于她。"
甄嬛,"就如我的胧月一样,她不像太子一般惹人注目,我只希望我的胧月能够平安。"
允礼,"皇兄和太后都视她如掌上明珠,何况胧月本身也十分地讨人喜爱,你不必担心。每个人都好,你现在需要的只是好好地爱护自己。"
甄嬛,"是,要好好地爱护自己,为你,也为所有让我牵挂的人。"
甄嬛,"积年旧物了,还这样贴身藏着呢?"
允礼,"虽然是积年旧物,可是这么些年如果没有它,我的心境也不会如此平静。有时候我总以为,这辈子能够留下的只有这一枚小像了。"
甄嬛,"其实在宫中时,我已把你视作知己,只是我害怕自己的心。"
允礼,那么现在你还怕吗?
甄嬛,"有你在,我什么都不怕。"
