speaker,dialogue,情感得分,情感分类,人物,台词
贞嫔,若真如斐雯所说，万一哪天熹贵妃暗下毒手，那这后宫的秽乱之事就没人再知道了。这样说来她向祺贵人求助也不是全无道理,0.036416326983637726,消极,贞嫔,若真如斐雯所说，万一哪天熹贵妃暗下毒手，那这后宫的秽乱之事就没人再知道了。这样说来她向祺贵人求助也不是全无道理
安嫔,臣妾听说，念佛的人心肠都好些，连只蚂蚁都舍不得踩死，熹贵妃是在甘露寺为国祈福修行过的人，又得菩萨庇佑产下皇嗣，怎么会有如此淫乱之事呢,0.9996687773401391,积极,安嫔,臣妾听说，念佛的人心肠都好些，连只蚂蚁都舍不得踩死，熹贵妃是在甘露寺为国祈福修行过的人，又得菩萨庇佑产下皇嗣，怎么会有如此淫乱之事呢
祺贵人,佛门清净地本事供人清心静修的，甄嬛生性淫贱，竟在甘露寺修行时大行秽乱之事,0.04400575322935174,消极,祺贵人,佛门清净地本事供人清心静修的，甄嬛生性淫贱，竟在甘露寺修行时大行秽乱之事
谨悉,贵人，甘露寺乃大清圣寺，贵人如此血口喷人，胡言乱语，就不怕菩萨责罚吗,0.10697470769749684,消极,谨悉,贵人，甘露寺乃大清圣寺，贵人如此血口喷人，胡言乱语，就不怕菩萨责罚吗
苏公公,皇上驾到——,0.8087741105290288,积极,苏公公,皇上驾到——
合宫众人,皇上万福金安,0.910194039871607,积极,合宫众人,皇上万福金安
皇上,后宫无一日安宁的，朕何从万安,0.3964903656113875,消极,皇上,后宫无一日安宁的，朕何从万安
皇后,臣妾等搅扰了皇上清安，望皇上恕罪,0.9925238291688252,积极,皇后,臣妾等搅扰了皇上清安，望皇上恕罪
皇上,说吧，出了什么事，这么乱哄哄的,0.02742677057794296,消极,皇上,说吧，出了什么事，这么乱哄哄的
祺贵人,臣妾要告发熹贵妃私通秽乱后宫,0.9960455182541595,积极,祺贵人,臣妾要告发熹贵妃私通秽乱后宫
祺贵人,臣妾以性命担保，所说的句句是实情,0.8599212424956343,积极,祺贵人,臣妾以性命担保，所说的句句是实情
皇后,祺贵人在众人面前发了毒誓，臣妾看她如此郑重或许有隐情。若真有什么误会立刻解开了也好，否则若以讹传讹出去，对熹贵妃清誉亦是有损,0.9999977579198464,积极,皇后,祺贵人在众人面前发了毒誓，臣妾看她如此郑重或许有隐情。若真有什么误会立刻解开了也好，否则若以讹传讹出去，对熹贵妃清誉亦是有损
皇上,好，朕就听你一言，如有虚言，朕决不轻饶,0.8807848368533031,积极,皇上,好，朕就听你一言，如有虚言，朕决不轻饶
祺贵人,臣妾有凭证证实，熹贵妃与温实初私通。熹贵妃出宫后，温实初屡屡入甘露寺探望，孤男寡女常常共处一室。皇上若不信，大可传甘露寺姑子细问，此刻人已在宫中,0.9999978862955694,积极,祺贵人,臣妾有凭证证实，熹贵妃与温实初私通。熹贵妃出宫后，温实初屡屡入甘露寺探望，孤男寡女常常共处一室。皇上若不信，大可传甘露寺姑子细问，此刻人已在宫中
皇后,要不要传还请皇上做主,0.5521321150448563,中性,皇后,要不要传还请皇上做主
皇上,传,0.6122448979591835,积极,皇上,传
永寿宫中,玉娆：碧姐姐，十七爷的病可好些啊,0.9989863253528987,积极,永寿宫中,玉娆：碧姐姐，十七爷的病可好些啊
浣碧,好多了，小主呢？怎么这么久都没有见到她？,0.7538037321105371,积极,浣碧,好多了，小主呢？怎么这么久都没有见到她？
玉娆,她刚刚被江公公带走了，现在还没回来呢,0.2198663537531893,消极,玉娆,她刚刚被江公公带走了，现在还没回来呢
阿绿,浣碧姑娘在就好了，宁贵人让我赶紧来告诉一声，祺贵人她们请了甘露寺的姑子来指证娘娘在宫外有奸情,0.49509700385734645,中性,阿绿,浣碧姑娘在就好了，宁贵人让我赶紧来告诉一声，祺贵人她们请了甘露寺的姑子来指证娘娘在宫外有奸情
浣碧,什么?!,0.5,中性,浣碧,什么?!
阿绿,让姑娘看到底有什么办法，最好也有甘露寺的人来指证那姑子说的是假话,0.6090339531827084,积极,阿绿,让姑娘看到底有什么办法，最好也有甘露寺的人来指证那姑子说的是假话
玉娆,姐姐怎么会有奸情呢，皇上真是糊涂,0.724771572970403,积极,玉娆,姐姐怎么会有奸情呢，皇上真是糊涂
浣碧,要找甘露寺的人得找莫言，二小姐，我们务必要在宫门下钥之前赶回来,0.021999366777799678,消极,浣碧,要找甘露寺的人得找莫言，二小姐，我们务必要在宫门下钥之前赶回来
玉娆,好，我和小允子去，你就留在这里免得再出事。阿绿，你是宁贵人身边的人，你就到宫门口接应,0.4105549598082875,中性,玉娆,好，我和小允子去，你就留在这里免得再出事。阿绿，你是宁贵人身边的人，你就到宫门口接应
阿绿,好,0.6558628208940429,积极,阿绿,好
玉娆,小允子快走,0.7428350114982952,积极,玉娆,小允子快走
小允子,是,0.5262327818078083,中性,小允子,是
玉娆,别拦着我，姐姐出事了，我要去救人，走,0.5532765792021022,中性,玉娆,别拦着我，姐姐出事了，我要去救人，走
慎贝勒,宫里怎么了,0.8715065618351667,积极,慎贝勒,宫里怎么了
景仁宫,静白：贫尼甘露寺静白见过皇上，皇后娘娘。熹贵妃安好，许久不见，不知熹贵妃还记得故人吗,0.9973410852102432,积极,景仁宫,静白：贫尼甘露寺静白见过皇上，皇后娘娘。熹贵妃安好，许久不见，不知熹贵妃还记得故人吗
熹贵妃,静白师父，能劳动大驾进宫，想必是挨的板子已经好了,0.9997892824360424,积极,熹贵妃,静白师父，能劳动大驾进宫，想必是挨的板子已经好了
静白,熹贵妃赏的一顿板子，倒是教会了贫尼说实话,0.06553393127157303,消极,静白,熹贵妃赏的一顿板子，倒是教会了贫尼说实话
熹贵妃,但愿如此,0.6153846153846156,积极,熹贵妃,但愿如此
祺贵人,静白师父有什么话赶紧回了，也不耽误师父清修,0.4956099255673624,中性,祺贵人,静白师父有什么话赶紧回了，也不耽误师父清修
静白,是。熹贵妃娘娘初来甘露寺时，素不理睬众人，咱们这些人也只得敬而远之了。那时宫中常有一位年长的姑姑前来探望娘娘，除此之外便只有一位姓温的太医常来探望的。贫尼有几次经过娘娘的住处，见白日里娘娘的房门有时也掩着，而两个侍女都守在外头。贫尼当时看着深觉不妥，想劝解几句，反倒被娘娘给骂了回来。贫尼便也不好再说什么了。后来为避寺中流言，熹贵妃称病搬离甘露寺，独自携了侍女住在凌云峰，从此之后是否还有往来，贫尼便不得而知了,0.7411771868632687,积极,静白,是。熹贵妃娘娘初来甘露寺时，素不理睬众人，咱们这些人也只得敬而远之了。那时宫中常有一位年长的姑姑前来探望娘娘，除此之外便只有一位姓温的太医常来探望的。贫尼有几次经过娘娘的住处，见白日里娘娘的房门有时也掩着，而两个侍女都守在外头。贫尼当时看着深觉不妥，想劝解几句，反倒被娘娘给骂了回来。贫尼便也不好再说什么了。后来为避寺中流言，熹贵妃称病搬离甘露寺，独自携了侍女住在凌云峰，从此之后是否还有往来，贫尼便不得而知了
祺贵人,请问师父所说的温太医，此刻可在殿中,0.3293133540388531,消极,祺贵人,请问师父所说的温太医，此刻可在殿中
静白,阿弥陀佛，便是眼前的这一位了,0.9652141908739034,积极,静白,阿弥陀佛，便是眼前的这一位了
